, -0.01, 0.00, -0.01, 0.05, -0.04
ANGLE, -0.02, 0.00, -0.01, 0.02, -0.08
ANGLE, -0.06, -0.00, 1.41, 14.14, -1.06
ANGLE, 0.07, 0.00, 1.07, -2.00, 1.37
ANGLE, -0.05, -0.00, 1.06, 0.98, -1.06
ANGLE, -0.07, -0.01, 1.33, 3.77, -0.28
ANGLE, -0.05, -0.01, 2.22, 10.21, 0.18
ANGLE, 0.33, 0.02, 1.97, -0.29, 3.14
ANGLE, 0.79, 0.10, 1.29, -4.85, 4.50
ANGLE, 0.32, 0.12, 1.58, 4.20, -3.95
ANGLE, 0.33, 0.14, 2.35, 9.32, 0.32
ANGLE, 0.32, 0.16, 1.30, -8.21, 0.28
ANGLE, 1.26, 0.27, 1.37, 2.00, 8.28
ANGLE, -0.38, 0.20, 2.10, 8.73, -0.30
ANGLE, -1.25, 0.06, 1.66, -2.30, -9.20
ANGLE, -0.64, -0.01, 1.53, 0.34, 5.05
ANGLE, -0.15, -0.03, 1.49, 1.19, 3.80
ANGLE, -0.18, -0.04, 1.22, -1.21, -0.37
ANGLE, -0.18, -0.05, 1.07, -0.32, -0.23
ANGLE, -0.83, -0.13, 0.80, -1.66, -6.25
ANGLE, -1.38, -0.26, 0.16, -5.54, -6.44
ANGLE, -1.57, -0.39, -0.13, -2.73, -3.39
ANGLE, -1.42, -0.49, -0.06, 0.58, -0.17
ANGLE, -1.02, -0.54, -0.28, -2.29, 2.28
ANGLE, -1.47, -0.64, -0.40, -1.45, -5.80
ANGLE, -1.31, -0.70, -0.32, 0.40, 0.08
ANGLE, -1.18, -0.75, -0.30, -0.20, -0.04
ANGLE, -1.39, -0.81, -0.17, 1.05, -3.22
ANGLE, -1.16, -0.85, 0.00, 1.54, 0.74
ANGLE, -1.00, -0.86, -0.09, -0.92, 0.45
ANGLE, -1.10, -0.89, -0.09, -0.08, -2.02
ANGLE, -1.03, -0.90, -0.13, -0.50, -0.45
ANGLE, -0.97, -0.91, -0.09, 0.26, -0.38
ANGLE, -1.03, -0.92, 0.01, 0.87, -1.58
ANGLE, -1.07, -0.94, 0.15, 1.43, -1.47
ANGLE, -0.93, -0.94, 0.19, 0.61, 0.33
ANGLE, -1.04, -0.95, 0.06, -1.13, -2.01
ANGLE, -1.12, -0.96, 0.07, 0.11, -1.82
ANGLE, -1.00, -0.97, 0.13, 0.72, 0.04
ANGLE, -0.98, -0.97, 0.12, 0.02, -0.84
ANGLE, -0.94, -0.96, 0.13, 0.20, -0.51
ANGLE, -0.85, -0.95, 0.15, 0.40, -0.12
ANGLE, -0.90, -0.95, 0.08, -0.56, -1.35
ANGLE, -1.01, -0.95, 0.08, 0.05, -1.94
ANGLE, -0.92, -0.95, 0.07, 0.02, -0.17
ANGLE, -0.86, -0.94, 0.06, -0.03, -0.29
ANGLE, -1.03, -0.95, 0.15, 0.90, -2.56
ANGLE, -0.98, -0.95, 0.28, 1.46, -0.67
ANGLE, -0.99, -0.96, 0.17, -0.79, -1.16
ANGLE, -1.71, -1.03, 0.30, 1.42, -7.18
ANGLE, -3.58, -1.29, 0.29, 0.21, -3.67
ANGLE, -5.02, -1.66, 0.25, -0.05, -4.55
ANGLE, -5.65, -2.06, 0.32, 0.92, -5.27
ANGLE, -4.83, -2.34, -0.09, -3.77, 2.64
ANGLE, -5.76, -2.68, -0.27, -1.91, -10.71
ANGLE, -4.83, -2.89, -0.25, -0.11, 3.71
ANGLE, -4.59, -3.06, -0.33, -1.04, -2.29
ANGLE, -4.50, -3.21, -0.44, -1.37, -3.67
ANGLE, -4.10, -3.30, -0.28, 1.17, -0.67
ANGLE, -3.62, -3.33, -0.33, -0.85, 0.51
ANGLE, -1.89, -3.19, -0.31, -0.09, -1.71
ANGLE, -2.91, -3.16, -0.10, 1.75, -2.84
ANGLE, -3.93, -3.23, -0.16, -0.64, -5.38
ANGLE, -4.84, -3.40, -0.12, 0.23, -5.49
ANGLE, -4.25, -3.48, -0.04, 0.69, 1.21
ANGLE, -3.40, -3.47, 0.09, 1.28, 5.78
ANGLE, -2.17, -3.34, -0.09, -1.74, 11.94
ANGLE, -3.84, -3.39, -0.08, -0.05, -4.75
ANGLE, -5.04, -3.56, -0.14, -0.63, -5.95
ANGLE, -5.34, -3.74, -0.36, -2.37, -3.59
ANGLE, -6.54, -4.02, -0.27, 0.53, -4.57
ANGLE, -7.97, -4.41, -0.35, -1.02, -9.00
ANGLE, -7.41, -4.71, -0.31, 0.03, -0.72
ANGLE, -7.76, -5.02, -0.32, -0.46, -11.17
ANGLE, -9.14, -5.43, -0.50, -2.06, -68.32
ANGLE, -7.74, -5.66, -0.33, 1.21, 0.69
ANGLE, -5.43, -5.64, -0.27, 0.21, -3.54
ANGLE, -4.98, -5.57, -0.12, 1.24, -0.86
ANGLE, -3.59, -5.37, -0.32, -2.09, 5.42
ANGLE, -4.65, -5.30, -0.54, -2.49, -7.62
ANGLE, -3.28, -5.10, -0.23, 2.56, 4.00
ANGLE, -4.83, -5.07, -0.43, -2.29, -17.08
ANGLE, -3.85, -4.95, -0.64, -2.49, 41.32
ANGLE, -2.68, -4.72, -0.74, -1.62, 25.81
ANGLE, -1.11, -4.36, -0.79, -1.24, -2.77
ANGLE, -0.04, -3.93, -0.79, -0.84, 15.09
ANGLE, 0.73, -3.46, -0.76, -0.50, 3.73
ANGLE, 0.53, -3.06, -0.78, -0.96, -0.40
ANGLE, -0.07, -2.76, -0.66, 0.43, -10.08
ANGLE, -0.07, -2.49, -0.69, -0.99, -0.05
ANGLE, -0.10, -2.26, -0.52, 1.05, -0.51
ANGLE, -0.11, -2.04, -0.28, 1.91, -0.13
ANGLE, -0.10, -1.85, -0.09, 1.59, -0.08
ANGLE, -0.10, -1.67, 0.19, 2.70, -0.07
ANGLE, -0.10, -1.52, -0.03, -1.98, -0.24
ANGLE, 0.35, -1.33, 0.13, 1.57, 2.68
ANGLE, 0.35, -1.16, 0.25, 1.36, 0.32
ANGLE, 0.34, -1.01, 0.38, 1.48, 0.29
ANGLE, 1.01, -0.81, 0.40, 0.58, 6.08
ANGLE, 1.49, -0.58, 0.38, 0.27, 5.94
ANGLE, -1.77, -0.70, 0.43, 0.84, -2.09
ANGLE, -2.40, -0.87, 0.28, -1.05, -7.12
ANGLE, -3.15, -1.10, 0.01, -2.40, -2.59
ANGLE, -1.96, -1.18, -0.07, -0.82, 6.70
ANGLE, -5.80, -1.64, -0.21, -1.43, -6.38
ANGLE, -1.64, -1.64, -0.34, -1.50, -9.03
ANGLE, -1.64, -1.64, -0.38, -0.82, -9.81
ANGLE, -1.64, -1.64, -0.12, 2.27, -0.44
ANGLE, -7.07, -2.19, -0.23, -1.27, -5.64
ANGLE, -7.05, -2.67, -0.37, -1.56, 7.18
ANGLE, -5.49, -2.95, -0.26, 0.73, 7.30
ANGLE, -4.23, -3.08, -0.06, 1.69, 6.27
ANGLE, -3.20, -3.09, 0.05, 1.02, 7.95
ANGLE, -2.60, -3.04, 0.25, 2.08, 3.06
ANGLE, -3.23, -3.06, 0.30, 0.78, -10.53
ANGLE, -3.91, -3.15, 0.19, -0.79, -3.59
ANGLE, -4.36, -3.27, -0.20, -3.72, -8.84
ANGLE, -5.77, -3.52, -0.18, -0.06, -6.58
ANGLE, -4.62, -3.63, -0.19, -0.27, 5.35
ANGLE, -4.61, -3.73, -0.15, 0.26, -4.54
ANGLE, -4.97, -3.85, -0.11, 0.24, -7.84
ANGLE, -5.41, -4.01, -0.12, -0.23, -11.04
ANGLE, -7.08, -4.31, -0.21, -1.04, -10.29
ANGLE, -6.63, -4.55, -0.17, 0.18, -2.88
ANGLE, -4.84, -4.58, -0.10, 0.52, -4.33
ANGLE, -5.10, -4.63, -0.18, -0.90, -7.16
ANGLE, -6.68, -4.83, -0.20, -0.32, -7.18
ANGLE, -7.38, -5.09, -0.19, -0.15, -8.92
ANGLE, -4.90, -5.07, -0.11, 0.61, -3.88
ANGLE, -3.23, -4.88, 0.19, 2.88, -3.15
ANGLE, -4.45, -4.84, 0.17, 0.05, -5.87
ANGLE, -4.44, -4.80, -0.01, -1.62, -4.29
ANGLE, -5.30, -4.85, -0.06, -0.50, -5.67
ANGLE, -5.59, -4.92, 0.25, 2.99, -8.18
ANGLE, -6.44, -5.08, -0.18, -4.01, -6.59
ANGLE, -7.34, -5.30, -0.26, -0.99, -10.34
ANGLE, -5.68, -5.34, -0.02, 2.15, 7.49
ANGLE, -5.72, -5.38, -0.28, -2.69, -5.97
ANGLE, -4.09, -5.25, -0.38, -1.19, 9.78
ANGLE, -4.79, -5.20, -0.24, 0.98, -5.37
ANGLE, -3.42, -5.02, -0.18, 0.35, 6.20
ANGLE, -3.63, -4.89, -0.03, 1.31, -5.94
ANGLE, -2.16, -4.61, -0.12, -0.92, -2.15
ANGLE, -0.60, -4.21, -0.05, 0.63, -0.61
ANGLE, -0.61, -3.85, 0.24, 2.85, -0.79
ANGLE, -1.58, -3.62, 0.19, -0.31, -11.25
ANGLE, -2.91, -3.55, 0.19, 0.15, -2.53
ANGLE, -1.85, -3.38, 0.48, 3.11, 6.69
ANGLE, 0.23, -3.02, 0.57, 1.37, 0.20
ANGLE, 0.43, -2.68, 0.72, 2.09, 1.77
ANGLE, 0.43, -2.37, 0.97, 3.27, 0.40
ANGLE, 1.25, -2.00, 1.38, 5.00, 7.29
ANGLE, 1.44, -1.66, 1.31, 0.70, 2.81
ANGLE, 0.57, -1.44, 1.58, 3.98, -7.06
ANGLE, 0.55, -1.24, 1.48, 0.64, 0.40
ANGLE, -0.25, -1.14, 1.44, 1.01, -8.23
ANGLE, -0.15, -1.04, 1.19, -0.98, 0.72
ANGLE, -0.14, -0.95, 1.00, -0.75, -0.09
ANGLE, -0.13, -0.87, -0.05, -9.54, -0.07
ANGLE, -0.10, -0.79, 0.85, 8.94, -0.03
ANGLE, -0.57, -0.77, 0.65, -1.07, -6.95
ANGLE, -0.97, -0.79, 0.92, 3.33, -6.05
ANGLE, -0.79, -0.79, 2.45, 16.25, -6.67
ANGLE, -0.79, -0.79, 2.18, -0.32, 5.93
ANGLE, -0.79, -0.79, 1.52, -4.38, -7.71
ANGLE, -4.35, -1.15, 1.45, 0.76, -2.83
ANGLE, -4.78, -1.51, 1.47, 1.68, -5.27
ANGLE, -2.79, -1.64, 1.22, -1.04, -2.80
ANGLE, -1.87, -1.66, 1.71, 6.10, 10.97
ANGLE, -1.07, -1.60, 1.46, -0.81, 10.07
ANGLE, 0.45, -1.40, 1.36, 0.47, 0.56
ANGLE, 0.45, -1.21, 1.25, 0.24, 0.48
ANGLE, 0.69, -1.02, 1.29, 1.71, 2.90
ANGLE, -0.09, -0.93, 1.12, -0.46, -11.50
ANGLE, -0.09, -0.85, 1.18, 1.71, -0.11
ANGLE, -0.10, -0.77, 1.24, 1.83, -0.14
ANGLE, -0.10, -0.70, 0.84, -2.82, -0.10
ANGLE, -0.10, -0.64, 0.83, 0.76, -0.11
ANGLE, -0.10, -0.59, 0.61, -1.37, -0.11
ANGLE, -0.10, -0.54, 0.17, -3.75, -0.08
ANGLE, 0.36, -0.45, 0.06, -0.95, 4.13
ANGLE, 0.36, -0.37, 0.01, -0.49, 0.37
ANGLE, 0.37, -0.29, 0.08, 0.72, 0.45
ANGLE, -0.09, -0.27, 0.16, 0.93, -4.34
ANGLE, 0.28, -0.22, 0.16, 0.14, 4.44
ANGLE, 0.68, -0.13, 0.12, -0.24, 5.26
ANGLE, 0.69, -0.05, 0.16, 0.52, 0.72
ANGLE, 0.67, 0.02, 0.15, 0.05, 0.54
ANGLE, 0.68, 0.09, 0.15, 0.14, 0.79
ANGLE, 1.47, 0.23, 0.15, 0.18, 7.33
ANGLE, 3.71, 0.58, 0.00, -1.33, 3.59
ANGLE, 4.46, 0.96, -0.01, -0.11, 6.08
ANGLE, 4.37, 1.30, -0.12, -1.14, 3.68
ANGLE, 4.19, 1.59, 0.05, 1.56, 2.32
ANGLE, 4.18, 1.85, -0.09, -1.27, 4.08
ANGLE, 3.55, 2.02, -0.22, -1.43, -3.08
ANGLE, 2.83, 2.10, -0.01, 1.91, -5.54
ANGLE, 2.20, 2.11, 0.11, 1.21, -5.12
ANGLE, 3.77, 2.28, 0.21, 1.10, 3.53
ANGLE, 3.68, 2.42, 0.28, 0.89, 3.00
